[rosmaster.main][INFO] 2019-12-27 18:26:13,367: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 18:26:13,368: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 18:26:13,368: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 18:26:13,369: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 18:26:13,369: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 18:26:13,369: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 18:26:13,428: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,430: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37579] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,521: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,521: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,521: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,521: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,522: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:26:13,524: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/
[rosmaster.master][INFO] 2019-12-27 18:26:13,525: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/
[rosmaster.master][INFO] 2019-12-27 18:26:13,526: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/
[rosmaster.master][INFO] 2019-12-27 18:26:13,529: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/
[rosmaster.master][INFO] 2019-12-27 18:26:13,545: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/
[rosmaster.master][INFO] 2019-12-27 18:26:13,546: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/
[rosmaster.master][INFO] 2019-12-27 18:26:13,547: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/
[rosmaster.master][INFO] 2019-12-27 18:26:13,552: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/
[rosmaster.master][INFO] 2019-12-27 18:26:13,553: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/
[rosmaster.master][INFO] 2019-12-27 18:26:13,554: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/
[rosmaster.master][INFO] 2019-12-27 18:26:13,563: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42747/
[rosmaster.master][INFO] 2019-12-27 18:26:13,564: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42747/
[rosmaster.master][INFO] 2019-12-27 18:26:13,565: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42747/
[rosmaster.master][INFO] 2019-12-27 18:26:13,568: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/']
[rosmaster.master][INFO] 2019-12-27 18:26:13,570: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 18:26:13,570: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/']
[rosmaster.master][INFO] 2019-12-27 18:26:13,571: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 18:26:13,571: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42747/']
[rosmaster.master][INFO] 2019-12-27 18:26:13,571: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38997/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40053/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42747/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 18:26:13,582: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42443/
[rosmaster.master][INFO] 2019-12-27 18:26:13,583: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42443/
[rosmaster.master][INFO] 2019-12-27 18:26:13,584: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42443/
[rosmaster.master][INFO] 2019-12-27 18:26:13,584: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38285/
