[rosmaster.main][INFO] 2019-12-27 01:29:46,272: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 01:29:46,272: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 01:29:46,273: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 01:29:46,273: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 01:29:46,273: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 01:29:46,273: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 01:29:46,332: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,336: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39857] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,441: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,442: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,442: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:29:46,443: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35389/
[rosmaster.master][INFO] 2019-12-27 01:29:46,444: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35389/
[rosmaster.master][INFO] 2019-12-27 01:29:46,445: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35389/
[rosmaster.master][INFO] 2019-12-27 01:29:46,448: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35389/
