[rosmaster.main][INFO] 2020-02-26 18:25:29,385: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 18:25:29,385: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 18:25:29,386: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 18:25:29,386: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 18:25:29,386: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 18:25:29,386: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 18:25:29,439: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:25:29,440: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46279] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:25:29,540: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:25:29,540: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:25:29,545: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:25:29,546: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:25:29,547: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:25:29,550: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:26:01,466: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,476: +SERVICE [/monitor/get_loggers] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,479: +SERVICE [/monitor/set_logger_level] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,487: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/']
[rosmaster.master][INFO] 2020-02-26 18:26:01,494: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 18:26:01,546: +SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,548: +SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,549: +SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,551: +SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,552: +PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,552: +PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,553: +PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:01,554: +PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33939/
[rosmaster.master][INFO] 2020-02-26 18:26:20,242: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:26:20,243: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2020-02-26 18:26:20,244: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53553
[rosmaster.master][INFO] 2020-02-26 18:26:20,244: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53553
[rosmaster.main][INFO] 2020-02-26 18:26:20,324: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-02-26 18:26:20,325: stopping master...
[rospy.core][INFO] 2020-02-26 18:26:20,325: signal_shutdown [atexit]
