[rosmaster.main][INFO] 2020-01-30 20:01:56,756: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 20:01:56,756: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 20:01:56,756: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 20:01:56,757: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 20:01:56,757: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 20:01:56,757: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 20:01:56,824: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,828: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42019] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,925: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,926: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,926: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:01:56,927: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/
[rosmaster.master][INFO] 2020-01-30 20:01:56,928: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/
[rosmaster.master][INFO] 2020-01-30 20:01:56,929: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/
[rosmaster.master][INFO] 2020-01-30 20:01:56,932: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/
[rosmaster.master][INFO] 2020-01-30 20:01:56,948: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,949: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,949: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,956: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,956: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/']
[rosmaster.master][INFO] 2020-01-30 20:01:56,957: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,958: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 20:01:56,958: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,959: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/']
[rosmaster.master][INFO] 2020-01-30 20:01:56,960: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35859/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 20:01:56,966: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40923/
[rosmaster.master][INFO] 2020-01-30 20:01:56,966: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40923/
[rosmaster.master][INFO] 2020-01-30 20:01:56,967: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40923/
[rosmaster.master][INFO] 2020-01-30 20:01:56,982: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38109/
[rosmaster.master][INFO] 2020-01-30 20:01:56,983: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38109/
[rosmaster.master][INFO] 2020-01-30 20:01:56,984: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38109/
[rosmaster.master][INFO] 2020-01-30 20:01:56,989: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,989: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,990: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,991: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 20:01:56,991: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 20:01:56,994: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,994: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,995: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,996: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,997: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2020-01-30 20:01:56,998: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35985/
[rosmaster.master][INFO] 2020-01-30 20:01:56,999: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
