[rosmaster.main][INFO] 2020-02-27 07:54:27,934: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 07:54:27,934: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 07:54:27,935: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 07:54:27,935: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 07:54:27,936: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 07:54:27,936: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 07:54:27,980: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:27,982: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42345] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,072: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,073: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,073: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,073: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,073: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,073: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:54:28,075: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/
[rosmaster.master][INFO] 2020-02-27 07:54:28,075: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/
[rosmaster.master][INFO] 2020-02-27 07:54:28,077: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/
[rosmaster.master][INFO] 2020-02-27 07:54:28,080: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/
[rosmaster.master][INFO] 2020-02-27 07:54:28,105: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36769/
[rosmaster.master][INFO] 2020-02-27 07:54:28,106: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36769/
[rosmaster.master][INFO] 2020-02-27 07:54:28,107: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36769/
[rosmaster.master][INFO] 2020-02-27 07:54:28,117: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42819/
[rosmaster.master][INFO] 2020-02-27 07:54:28,118: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42819/
[rosmaster.master][INFO] 2020-02-27 07:54:28,119: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42819/
[rosmaster.master][INFO] 2020-02-27 07:54:28,133: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35009/
[rosmaster.master][INFO] 2020-02-27 07:54:28,134: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35009/
[rosmaster.master][INFO] 2020-02-27 07:54:28,135: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35009/
[rosmaster.master][INFO] 2020-02-27 07:54:28,135: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36769/']
