[rosmaster.main][INFO] 2019-12-29 03:36:22,315: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:36:22,315: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:36:22,316: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:36:22,316: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:36:22,316: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:36:22,317: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:36:22,369: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:22,371: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35505] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:22,465: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:22,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:22,469: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46563/
[rosmaster.master][INFO] 2019-12-29 03:36:22,470: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46563/
[rosmaster.master][INFO] 2019-12-29 03:36:22,471: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46563/
[rosmaster.master][INFO] 2019-12-29 03:36:22,474: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46563/
[rosmaster.master][INFO] 2019-12-29 03:36:24,474: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43315] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,476: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,476: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,476: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:36:24,477: +PARAM [/usb_cam/image_height] by /roslaunch
