[rosmaster.main][INFO] 2019-12-20 02:42:41,013: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 02:42:41,013: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 02:42:41,014: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 02:42:41,014: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 02:42:41,014: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 02:42:41,014: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 02:42:41,053: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,054: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34061] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,157: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:42:41,479: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/
[rosmaster.master][INFO] 2019-12-20 02:42:41,481: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/
[rosmaster.master][INFO] 2019-12-20 02:42:41,486: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/
[rosmaster.master][INFO] 2019-12-20 02:42:41,497: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/
[rosmaster.master][INFO] 2019-12-20 02:42:42,136: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/
[rosmaster.master][INFO] 2019-12-20 02:42:42,138: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/
[rosmaster.master][INFO] 2019-12-20 02:42:42,140: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/
[rosmaster.master][INFO] 2019-12-20 02:42:42,217: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/']
[rosmaster.master][INFO] 2019-12-20 02:42:42,223: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-20 02:42:42,382: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46055/
[rosmaster.master][INFO] 2019-12-20 02:42:42,384: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46055/
[rosmaster.master][INFO] 2019-12-20 02:42:42,387: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46055/
[rosmaster.master][INFO] 2019-12-20 02:42:42,418: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41569/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46055/']
