[rosmaster.main][INFO] 2020-02-28 19:42:01,523: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:42:01,523: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:42:01,524: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:42:01,524: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:42:01,524: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:42:01,524: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:42:01,575: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,576: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40255] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,653: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,653: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,654: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:42:01,655: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42401/
[rosmaster.master][INFO] 2020-02-28 19:42:01,656: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42401/
[rosmaster.master][INFO] 2020-02-28 19:42:01,657: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42401/
[rosmaster.master][INFO] 2020-02-28 19:42:01,659: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42401/
[rosmaster.master][INFO] 2020-02-28 19:42:01,686: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43265/
[rosmaster.master][INFO] 2020-02-28 19:42:01,687: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43265/
[rosmaster.master][INFO] 2020-02-28 19:42:01,688: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43265/
