[rosmaster.main][INFO] 2020-02-05 21:56:41,113: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 21:56:41,113: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 21:56:41,114: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 21:56:41,114: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 21:56:41,114: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:56:41,115: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 21:56:41,167: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,169: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35767] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,267: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,268: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,268: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,268: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:56:41,269: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44561/
