[rosmaster.main][INFO] 2019-12-27 01:58:35,322: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 01:58:35,322: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 01:58:35,323: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 01:58:35,323: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 01:58:35,323: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 01:58:35,323: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 01:58:35,389: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:35,390: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41591] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:35,463: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:35,463: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:35,467: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/
[rosmaster.master][INFO] 2019-12-27 01:58:35,468: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/
[rosmaster.master][INFO] 2019-12-27 01:58:35,469: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/
[rosmaster.master][INFO] 2019-12-27 01:58:35,472: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/
[rosmaster.master][INFO] 2019-12-27 01:58:54,259: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42453] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,261: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,262: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:58:54,343: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,344: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,344: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,348: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,349: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,350: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,360: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43633/
[rosmaster.master][INFO] 2019-12-27 01:58:54,361: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43633/
[rosmaster.master][INFO] 2019-12-27 01:58:54,362: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43633/
[rosmaster.master][INFO] 2019-12-27 01:58:54,369: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43535/
[rosmaster.master][INFO] 2019-12-27 01:58:54,370: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43535/
[rosmaster.master][INFO] 2019-12-27 01:58:54,370: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43535/
[rosmaster.master][INFO] 2019-12-27 01:58:54,379: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,380: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,380: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,381: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,382: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,384: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,385: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,385: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,386: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/
[rosmaster.master][INFO] 2019-12-27 01:58:54,387: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,388: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,389: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,390: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,390: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,391: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/
[rosmaster.master][INFO] 2019-12-27 01:58:54,392: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,393: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/']
[rosmaster.master][INFO] 2019-12-27 01:58:54,393: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,395: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 01:58:54,395: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 01:58:54,396: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/']
[rosmaster.master][INFO] 2019-12-27 01:58:54,396: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33255/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41359/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35367/']: sec=0.00, result=[1, '', 0]
