[rosmaster.main][INFO] 2020-02-26 15:05:20,556: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 15:05:20,556: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 15:05:20,557: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 15:05:20,557: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 15:05:20,557: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 15:05:20,558: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 15:05:20,624: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,628: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44321] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,725: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,726: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,726: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:05:20,726: +PARAM [/serial_node/port] by /roslaunch
