[rosmaster.main][INFO] 2019-12-31 09:10:36,722: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:10:36,722: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:10:36,723: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:10:36,723: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:10:36,723: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:10:36,723: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:10:36,793: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,796: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45271] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,893: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,894: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,894: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,894: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,894: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,894: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,895: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,895: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:10:36,896: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/
[rosmaster.master][INFO] 2019-12-31 09:10:36,897: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/
[rosmaster.master][INFO] 2019-12-31 09:10:36,898: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/
[rosmaster.master][INFO] 2019-12-31 09:10:36,901: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/
[rosmaster.master][INFO] 2019-12-31 09:10:36,915: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,916: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,916: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,922: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/']
[rosmaster.master][INFO] 2019-12-31 09:10:36,924: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34269/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:10:36,925: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37387/
[rosmaster.master][INFO] 2019-12-31 09:10:36,925: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37387/
[rosmaster.master][INFO] 2019-12-31 09:10:36,926: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37387/
[rosmaster.master][INFO] 2019-12-31 09:10:36,955: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,956: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,958: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,959: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,961: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,962: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,962: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,963: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,963: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,964: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,965: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,966: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,967: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,967: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,969: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,969: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,970: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,970: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,971: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,972: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,973: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,974: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,975: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,975: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,976: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
[rosmaster.master][INFO] 2019-12-31 09:10:36,978: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,978: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,979: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,979: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,980: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,980: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,980: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,981: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:10:36,982: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33645/
