[rosmaster.main][INFO] 2020-01-30 20:02:13,954: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 20:02:13,954: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 20:02:13,955: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 20:02:13,955: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 20:02:13,955: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 20:02:13,955: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 20:02:14,022: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,026: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42181] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,124: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:14,126: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37513/
