[rosmaster.main][INFO] 2019-12-28 00:53:06,455: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:53:06,455: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:53:06,456: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:53:06,456: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:53:06,456: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:53:06,456: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:53:06,501: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:06,502: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39997] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:06,575: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:06,575: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:06,580: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-12-28 00:53:06,580: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-12-28 00:53:06,582: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-12-28 00:53:06,585: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-12-28 00:53:09,078: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33525] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,081: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:53:09,167: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,168: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,169: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,174: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,175: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,176: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,180: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34945/
[rosmaster.master][INFO] 2019-12-28 00:53:09,181: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34945/
[rosmaster.master][INFO] 2019-12-28 00:53:09,182: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34945/
[rosmaster.master][INFO] 2019-12-28 00:53:09,188: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44141/
[rosmaster.master][INFO] 2019-12-28 00:53:09,189: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44141/
[rosmaster.master][INFO] 2019-12-28 00:53:09,189: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44141/
[rosmaster.master][INFO] 2019-12-28 00:53:09,199: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,200: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,200: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,202: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,202: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,204: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,205: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,206: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,207: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,209: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,210: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,211: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,213: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,214: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,214: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,216: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,219: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,221: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,222: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,223: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,223: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,225: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,226: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,229: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,230: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,232: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,233: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,233: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,234: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,235: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,236: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,237: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,238: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34945/
[rosmaster.master][INFO] 2019-12-28 00:53:09,238: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,238: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,240: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,240: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,241: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:53:09,242: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,243: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,244: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40291/
[rosmaster.master][INFO] 2019-12-28 00:53:09,245: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,247: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,248: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,249: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34945/
[rosmaster.master][INFO] 2019-12-28 00:53:09,249: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:53:09,250: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-28 00:53:09,251: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
