[rosmaster.main][INFO] 2020-01-30 23:08:26,603: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 23:08:26,603: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 23:08:26,603: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 23:08:26,604: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 23:08:26,604: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 23:08:26,604: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 23:08:26,662: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,664: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38633] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,766: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,767: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:08:26,768: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/
[rosmaster.master][INFO] 2020-01-30 23:08:26,769: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/
[rosmaster.master][INFO] 2020-01-30 23:08:26,770: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/
[rosmaster.master][INFO] 2020-01-30 23:08:26,772: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/
[rosmaster.master][INFO] 2020-01-30 23:08:26,796: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,797: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,797: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,803: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/']
[rosmaster.master][INFO] 2020-01-30 23:08:26,805: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,805: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 23:08:26,806: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/']
[rosmaster.master][INFO] 2020-01-30 23:08:26,807: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,807: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 23:08:26,808: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,810: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,811: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,812: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,820: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36453/
[rosmaster.master][INFO] 2020-01-30 23:08:26,821: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36453/
[rosmaster.master][INFO] 2020-01-30 23:08:26,822: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36453/
[rosmaster.master][INFO] 2020-01-30 23:08:26,852: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,854: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,855: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,857: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,858: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,859: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,860: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,861: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,862: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,863: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,864: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,865: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-01-30 23:08:26,866: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,867: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38025/
[rosmaster.master][INFO] 2020-01-30 23:08:26,872: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,872: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,874: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,875: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,876: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,876: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,878: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,878: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,880: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,880: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,882: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 23:08:26,882: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:08:26,883: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2020-01-30 23:08:26,884: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
