[rosmaster.main][INFO] 2019-12-31 08:56:23,718: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 08:56:23,718: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 08:56:23,719: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 08:56:23,719: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 08:56:23,719: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 08:56:23,719: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 08:56:23,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,780: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33629] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,875: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,875: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,875: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,875: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,875: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,876: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:56:23,878: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/
[rosmaster.master][INFO] 2019-12-31 08:56:23,878: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/
[rosmaster.master][INFO] 2019-12-31 08:56:23,879: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/
[rosmaster.master][INFO] 2019-12-31 08:56:23,882: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/
[rosmaster.master][INFO] 2019-12-31 08:56:23,898: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,899: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,900: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,906: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,907: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,907: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,915: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,916: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,916: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,919: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/']
[rosmaster.master][INFO] 2019-12-31 08:56:23,920: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:56:23,920: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/']
[rosmaster.master][INFO] 2019-12-31 08:56:23,922: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:56:23,922: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/']
[rosmaster.master][INFO] 2019-12-31 08:56:23,922: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38649/
[rosmaster.master][INFO] 2019-12-31 08:56:23,923: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:56:23,923: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38649/']
[rosmaster.master][INFO] 2019-12-31 08:56:23,924: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38649/
[rosmaster.master][INFO] 2019-12-31 08:56:23,925: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34679/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38649/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:56:23,925: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38649/
[rosmaster.master][INFO] 2019-12-31 08:56:23,959: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,961: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,963: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,963: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,965: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,966: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,967: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,969: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,971: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,972: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,973: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,973: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,975: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,976: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,978: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
[rosmaster.master][INFO] 2019-12-31 08:56:23,981: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,982: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,985: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,988: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,988: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,989: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,990: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,991: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,992: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,992: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,993: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,994: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:56:23,995: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,996: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,997: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:23,998: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:23,999: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:23,999: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:24,000: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:56:24,001: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40505/
[rosmaster.master][INFO] 2019-12-31 08:56:24,003: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42115/
[rosmaster.master][INFO] 2019-12-31 08:56:24,003: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42369/
