[rosmaster.main][INFO] 2019-12-22 14:00:33,718: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:00:33,719: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:00:33,719: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:00:33,720: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:00:33,720: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:00:33,720: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:00:33,774: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,776: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34195] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,863: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,864: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,864: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:33,865: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/
[rosmaster.master][INFO] 2019-12-22 14:00:33,866: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/
[rosmaster.master][INFO] 2019-12-22 14:00:33,867: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/
[rosmaster.master][INFO] 2019-12-22 14:00:33,870: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/
[rosmaster.master][INFO] 2019-12-22 14:00:33,884: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,884: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,885: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,893: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36125/
[rosmaster.master][INFO] 2019-12-22 14:00:33,894: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36125/
[rosmaster.master][INFO] 2019-12-22 14:00:33,894: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36125/
[rosmaster.master][INFO] 2019-12-22 14:00:33,917: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,918: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,918: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,919: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,919: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/']
[rosmaster.master][INFO] 2019-12-22 14:00:33,921: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 14:00:33,921: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36125/']
[rosmaster.master][INFO] 2019-12-22 14:00:33,922: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36125/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 14:00:33,922: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,923: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,923: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,924: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,924: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,925: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,927: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,928: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,928: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,929: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,931: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,931: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,932: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,932: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,933: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,934: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,935: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,937: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,937: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,938: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,938: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-22 14:00:33,940: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,941: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,941: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,942: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,942: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,943: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,943: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,944: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:00:33,944: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
