[rosmaster.main][INFO] 2019-12-31 09:39:21,045: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:39:21,045: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:39:21,046: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:39:21,046: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:39:21,046: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:39:21,046: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:39:21,108: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,109: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34215] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,203: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/framerate] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:21,204: +PARAM [/whycon/inner_diameter] by /roslaunch
