[rosmaster.main][INFO] 2020-02-26 15:48:24,723: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 15:48:24,724: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 15:48:24,724: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 15:48:24,725: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 15:48:24,725: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 15:48:24,725: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 15:48:24,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,782: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38895] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,864: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,865: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 15:48:24,867: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/
[rosmaster.master][INFO] 2020-02-26 15:48:24,867: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/
[rosmaster.master][INFO] 2020-02-26 15:48:24,869: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/
[rosmaster.master][INFO] 2020-02-26 15:48:24,872: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/
[rosmaster.master][INFO] 2020-02-26 15:48:24,902: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,903: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,904: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,910: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,911: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,911: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,922: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38165/
[rosmaster.master][INFO] 2020-02-26 15:48:24,924: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38165/
[rosmaster.master][INFO] 2020-02-26 15:48:24,924: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/']
[rosmaster.master][INFO] 2020-02-26 15:48:24,926: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38165/
[rosmaster.master][INFO] 2020-02-26 15:48:24,927: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 15:48:24,928: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/']
[rosmaster.master][INFO] 2020-02-26 15:48:24,928: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 15:48:24,928: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38165/']
[rosmaster.master][INFO] 2020-02-26 15:48:24,929: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44373/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38165/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 15:48:24,933: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41791/
[rosmaster.master][INFO] 2020-02-26 15:48:24,934: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41791/
[rosmaster.master][INFO] 2020-02-26 15:48:24,935: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41791/
[rosmaster.master][INFO] 2020-02-26 15:48:24,950: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,951: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,952: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,954: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,955: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,957: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,958: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,959: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,960: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,961: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,962: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,964: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,966: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,966: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2020-02-26 15:48:24,967: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,969: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,971: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,972: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 15:48:24,973: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,974: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 15:48:24,976: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 15:48:24,977: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 15:48:24,978: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,980: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 15:48:24,981: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,982: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 15:48:24,983: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37389/
[rosmaster.master][INFO] 2020-02-26 15:48:24,984: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
