[rosmaster.main][INFO] 2019-12-28 00:24:41,570: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:24:41,570: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:24:41,571: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:24:41,571: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:24:41,572: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:24:41,572: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:24:41,624: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:41,625: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41477] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:41,714: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:41,714: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:41,718: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/
[rosmaster.master][INFO] 2019-12-28 00:24:41,719: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/
[rosmaster.master][INFO] 2019-12-28 00:24:41,720: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/
[rosmaster.master][INFO] 2019-12-28 00:24:41,723: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/
[rosmaster.master][INFO] 2019-12-28 00:24:43,991: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33833] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,994: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,995: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,995: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,995: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:43,995: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:24:44,077: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,078: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,079: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,086: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,087: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,087: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,093: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,094: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,094: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,100: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44443/
[rosmaster.master][INFO] 2019-12-28 00:24:44,101: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44443/
[rosmaster.master][INFO] 2019-12-28 00:24:44,103: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44443/
[rosmaster.master][INFO] 2019-12-28 00:24:44,120: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,122: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,124: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,125: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,126: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,127: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,128: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,128: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,130: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,131: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,132: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,134: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,135: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,136: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,137: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,138: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,139: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,140: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,141: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,143: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,143: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,144: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,145: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,146: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,147: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,147: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,148: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,149: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,150: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,151: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,152: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,152: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,154: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,155: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,156: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,158: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,159: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,160: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,160: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,162: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,163: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,163: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,164: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,165: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,165: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,165: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,166: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,167: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,168: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,168: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,169: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,170: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,171: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/
[rosmaster.master][INFO] 2019-12-28 00:24:44,172: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,172: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,173: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:24:44,174: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,175: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/
[rosmaster.master][INFO] 2019-12-28 00:24:44,176: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,176: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/']
[rosmaster.master][INFO] 2019-12-28 00:24:44,178: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:24:44,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/']
[rosmaster.master][INFO] 2019-12-28 00:24:44,180: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:24:44,180: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/']
[rosmaster.master][INFO] 2019-12-28 00:24:44,181: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,182: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:24:44,183: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44443/']
[rosmaster.master][INFO] 2019-12-28 00:24:44,183: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:24:44,183: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/
[rosmaster.master][INFO] 2019-12-28 00:24:44,184: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40185/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38041/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38775/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44443/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:24:44,185: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
