[rosmaster.main][INFO] 2019-12-31 21:06:41,100: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:06:41,101: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:06:41,101: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-12-31 21:06:41,102: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:06:41,102: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:06:41,102: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:06:41,162: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:06:41,165: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33231] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:06:41,267: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:06:41,268: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:06:41,272: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34195/
[rosmaster.master][INFO] 2019-12-31 21:06:41,273: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34195/
[rosmaster.master][INFO] 2019-12-31 21:06:41,274: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34195/
[rosmaster.master][INFO] 2019-12-31 21:06:41,277: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34195/
[rosmaster.master][INFO] 2019-12-31 21:06:43,172: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38423] by /roslaunch
