[rosmaster.main][INFO] 2019-12-21 11:02:59,202: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-21 11:02:59,203: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-21 11:02:59,203: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-21 11:02:59,204: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-21 11:02:59,204: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-21 11:02:59,204: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-21 11:02:59,261: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:02:59,262: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44615] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:02:59,329: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:02:59,329: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:02:59,333: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35509/
[rosmaster.master][INFO] 2019-12-21 11:02:59,334: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35509/
[rosmaster.master][INFO] 2019-12-21 11:02:59,335: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35509/
[rosmaster.master][INFO] 2019-12-21 11:02:59,338: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35509/
[rosmaster.master][INFO] 2019-12-21 11:03:02,054: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41355] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:03:02,056: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:03:02,056: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:03:02,057: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:03:02,057: +PARAM [/whycon/targets] by /roslaunch
