[rosmaster.main][INFO] 2019-12-22 14:00:46,222: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:00:46,222: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:00:46,223: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:00:46,223: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:00:46,223: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:00:46,223: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:00:46,283: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:46,286: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41805] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:46,386: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:46,386: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:46,391: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34527/
[rosmaster.master][INFO] 2019-12-22 14:00:46,391: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34527/
[rosmaster.master][INFO] 2019-12-22 14:00:46,393: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34527/
[rosmaster.master][INFO] 2019-12-22 14:00:46,395: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34527/
[rosmaster.master][INFO] 2019-12-22 14:00:58,175: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44385] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,177: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,177: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,177: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,177: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,177: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,178: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,178: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,178: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:00:58,255: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39787/
[rosmaster.master][INFO] 2019-12-22 14:00:58,256: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39787/
[rosmaster.master][INFO] 2019-12-22 14:00:58,257: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39787/
[rosmaster.master][INFO] 2019-12-22 14:00:58,264: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2019-12-22 14:00:58,265: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2019-12-22 14:00:58,265: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34527/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39787/']
