[rosmaster.main][INFO] 2019-12-22 13:53:37,829: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 13:53:37,829: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 13:53:37,829: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 13:53:37,830: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 13:53:37,830: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 13:53:37,830: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 13:53:37,892: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:37,894: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38447] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,001: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,002: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:53:38,004: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/
[rosmaster.master][INFO] 2019-12-22 13:53:38,005: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/
[rosmaster.master][INFO] 2019-12-22 13:53:38,006: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/
[rosmaster.master][INFO] 2019-12-22 13:53:38,008: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/
[rosmaster.master][INFO] 2019-12-22 13:53:38,028: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,029: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/']
[rosmaster.master][INFO] 2019-12-22 13:53:38,030: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,032: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 13:53:38,033: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,034: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/']
[rosmaster.master][INFO] 2019-12-22 13:53:38,034: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 13:53:38,035: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,036: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,044: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44369/
[rosmaster.master][INFO] 2019-12-22 13:53:38,045: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44369/
[rosmaster.master][INFO] 2019-12-22 13:53:38,045: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44369/
[rosmaster.master][INFO] 2019-12-22 13:53:38,053: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38647/
[rosmaster.master][INFO] 2019-12-22 13:53:38,054: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39423/
[rosmaster.master][INFO] 2019-12-22 13:53:38,054: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38647/
[rosmaster.master][INFO] 2019-12-22 13:53:38,055: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39423/
[rosmaster.master][INFO] 2019-12-22 13:53:38,055: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38647/
[rosmaster.master][INFO] 2019-12-22 13:53:38,056: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39423/
[rosmaster.master][INFO] 2019-12-22 13:53:38,068: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,069: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,070: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,071: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-22 13:53:38,073: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-22 13:53:38,076: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,077: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,078: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,079: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,079: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,080: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,081: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-22 13:53:38,082: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44649/
[rosmaster.master][INFO] 2019-12-22 13:53:38,086: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-22 13:53:38,087: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 13:53:38,088: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
