[rosmaster.main][INFO] 2020-02-02 22:43:44,430: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-02 22:43:44,430: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-02 22:43:44,431: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-02 22:43:44,431: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-02 22:43:44,431: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-02 22:43:44,431: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-02 22:43:44,488: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,492: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46237] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,623: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,624: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,624: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,624: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,624: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,625: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,625: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,625: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,626: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,626: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,626: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:44,626: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:43:45,076: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43353/
[rosmaster.master][INFO] 2020-02-02 22:43:45,078: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43353/
[rosmaster.master][INFO] 2020-02-02 22:43:45,083: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43353/
[rosmaster.master][INFO] 2020-02-02 22:43:45,092: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33765/
[rosmaster.master][INFO] 2020-02-02 22:43:45,095: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33765/
[rosmaster.master][INFO] 2020-02-02 22:43:45,097: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33765/
[rosmaster.master][INFO] 2020-02-02 22:43:45,098: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43353/
[rosmaster.master][INFO] 2020-02-02 22:43:45,950: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33765/
[rosmaster.master][INFO] 2020-02-02 22:43:45,958: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33765/
