[rosmaster.main][INFO] 2020-02-01 00:40:36,629: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-01 00:40:36,629: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-01 00:40:36,630: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-01 00:40:36,630: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-01 00:40:36,630: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-01 00:40:36,631: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-01 00:40:36,685: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,688: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33893] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,789: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:40:36,791: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/
[rosmaster.master][INFO] 2020-02-01 00:40:36,792: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/
[rosmaster.master][INFO] 2020-02-01 00:40:36,793: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/
[rosmaster.master][INFO] 2020-02-01 00:40:36,796: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/
[rosmaster.master][INFO] 2020-02-01 00:40:36,814: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/
[rosmaster.master][INFO] 2020-02-01 00:40:36,814: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/
[rosmaster.master][INFO] 2020-02-01 00:40:36,815: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/
[rosmaster.master][INFO] 2020-02-01 00:40:36,821: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,822: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,822: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,830: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/']
[rosmaster.master][INFO] 2020-02-01 00:40:36,831: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44713/
[rosmaster.master][INFO] 2020-02-01 00:40:36,832: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-01 00:40:36,832: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/']
[rosmaster.master][INFO] 2020-02-01 00:40:36,833: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44713/
[rosmaster.master][INFO] 2020-02-01 00:40:36,833: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-01 00:40:36,833: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44713/']
[rosmaster.master][INFO] 2020-02-01 00:40:36,834: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44713/
[rosmaster.master][INFO] 2020-02-01 00:40:36,834: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43815/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36193/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44713/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-01 00:40:36,848: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,849: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42681/
[rosmaster.master][INFO] 2020-02-01 00:40:36,850: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,850: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42681/
[rosmaster.master][INFO] 2020-02-01 00:40:36,851: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43427/
[rosmaster.master][INFO] 2020-02-01 00:40:36,852: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42681/
[rosmaster.master][INFO] 2020-02-01 00:40:36,853: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
