[rosmaster.main][INFO] 2019-12-29 03:44:11,888: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:44:11,889: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:44:11,889: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:44:11,890: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:44:11,890: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:44:11,890: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:44:11,939: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:11,940: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34061] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:12,019: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:12,019: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:12,024: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-29 03:44:12,024: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-29 03:44:12,025: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-29 03:44:12,028: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-29 03:44:14,775: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41503] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,778: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,779: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:44:14,866: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,866: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,867: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,872: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,872: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,873: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,881: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,882: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,883: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,885: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39573/
[rosmaster.master][INFO] 2019-12-29 03:44:14,886: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39573/
[rosmaster.master][INFO] 2019-12-29 03:44:14,887: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39573/
[rosmaster.master][INFO] 2019-12-29 03:44:14,896: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/']
[rosmaster.master][INFO] 2019-12-29 03:44:14,898: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:44:14,898: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/']
[rosmaster.master][INFO] 2019-12-29 03:44:14,899: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:44:14,899: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/']
[rosmaster.master][INFO] 2019-12-29 03:44:14,899: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:44:14,899: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39573/']
[rosmaster.master][INFO] 2019-12-29 03:44:14,900: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39573/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:44:14,902: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,903: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,903: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,904: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,905: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,906: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,907: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,908: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,909: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,913: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,916: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,916: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,917: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,918: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,919: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,920: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,922: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,923: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,924: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,925: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,926: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,928: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,928: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,929: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,930: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,931: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,932: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,932: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,933: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,933: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,936: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,937: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,939: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,939: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,940: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,941: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,942: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,944: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,945: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,946: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,947: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,947: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,949: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,949: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,950: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,951: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,951: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,952: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,953: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,954: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,954: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,955: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,956: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,956: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,957: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,958: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,959: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,959: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,961: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,962: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,963: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,964: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/
[rosmaster.master][INFO] 2019-12-29 03:44:14,964: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,965: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,966: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,967: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,969: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,970: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,970: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,971: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,971: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,972: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,973: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,973: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,974: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:44:14,974: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,975: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:14,975: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,976: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,977: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,980: +PUB [/usb_cam/image_color/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,981: +SERVICE [/usb_cam/image_color/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,983: +PUB [/usb_cam/image_color/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,985: +PUB [/usb_cam/image_color/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,989: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,990: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,991: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,992: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,993: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,994: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:14,995: +PUB [/usb_cam/image_color/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,996: +SERVICE [/usb_cam/image_color/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,997: publisherUpdate[/usb_cam/camera_info] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/']
[rosmaster.master][INFO] 2019-12-29 03:44:14,997: +PUB [/usb_cam/image_color/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:14,998: publisherUpdate[/usb_cam/camera_info] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:44:14,999: +PUB [/usb_cam/image_color/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:15,001: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:15,003: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:15,004: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,005: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43169/
[rosmaster.master][INFO] 2019-12-29 03:44:15,008: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,009: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,010: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,012: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,012: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:44:15,014: +PUB [/usb_cam/image_color] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
[rosmaster.master][INFO] 2019-12-29 03:44:15,016: +PUB [/usb_cam/image_color/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37317/
