[rosmaster.main][INFO] 2019-12-15 23:49:06,645: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-15 23:49:06,645: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-15 23:49:06,646: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-15 23:49:06,646: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-15 23:49:06,646: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-15 23:49:06,646: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-15 23:49:06,714: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,717: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42595] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,816: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,817: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,818: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 23:49:06,820: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45349/
[rosmaster.master][INFO] 2019-12-15 23:49:06,820: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45349/
[rosmaster.master][INFO] 2019-12-15 23:49:06,821: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45349/
[rosmaster.master][INFO] 2019-12-15 23:49:06,824: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45349/
[rosmaster.master][INFO] 2019-12-15 23:49:06,838: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45545/
[rosmaster.master][INFO] 2019-12-15 23:49:06,839: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45545/
[rosmaster.master][INFO] 2019-12-15 23:49:06,839: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45545/
