[rosmaster.main][INFO] 2019-12-18 01:34:06,978: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:34:06,978: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:34:06,979: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:34:06,979: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:34:06,979: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:34:06,979: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:34:07,040: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,044: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38793] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,139: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:34:07,141: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/
[rosmaster.master][INFO] 2019-12-18 01:34:07,142: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/
[rosmaster.master][INFO] 2019-12-18 01:34:07,143: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/
[rosmaster.master][INFO] 2019-12-18 01:34:07,146: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/
[rosmaster.master][INFO] 2019-12-18 01:34:07,160: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/
[rosmaster.master][INFO] 2019-12-18 01:34:07,161: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/
[rosmaster.master][INFO] 2019-12-18 01:34:07,162: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/
[rosmaster.master][INFO] 2019-12-18 01:34:07,174: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40437/
[rosmaster.master][INFO] 2019-12-18 01:34:07,174: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40437/
[rosmaster.master][INFO] 2019-12-18 01:34:07,175: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40437/
[rosmaster.master][INFO] 2019-12-18 01:34:07,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/']
[rosmaster.master][INFO] 2019-12-18 01:34:07,180: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:34:07,180: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40437/']
[rosmaster.master][INFO] 2019-12-18 01:34:07,181: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41155/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35969/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40437/']: sec=0.00, result=[1, '', 0]
