[rosmaster.main][INFO] 2020-02-28 19:06:57,249: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:06:57,249: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:06:57,250: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:06:57,250: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:06:57,250: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:06:57,250: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:06:57,304: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,306: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34215] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,405: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,405: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,405: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,405: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,406: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,407: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:06:57,408: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/
[rosmaster.master][INFO] 2020-02-28 19:06:57,408: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/
[rosmaster.master][INFO] 2020-02-28 19:06:57,409: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/
[rosmaster.master][INFO] 2020-02-28 19:06:57,412: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/
[rosmaster.master][INFO] 2020-02-28 19:06:57,438: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/
[rosmaster.master][INFO] 2020-02-28 19:06:57,439: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/
[rosmaster.master][INFO] 2020-02-28 19:06:57,440: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/
[rosmaster.master][INFO] 2020-02-28 19:06:57,450: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42933/
[rosmaster.master][INFO] 2020-02-28 19:06:57,450: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/']
[rosmaster.master][INFO] 2020-02-28 19:06:57,452: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42933/
[rosmaster.master][INFO] 2020-02-28 19:06:57,453: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:06:57,454: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42933/
[rosmaster.master][INFO] 2020-02-28 19:06:57,454: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42933/']
[rosmaster.master][INFO] 2020-02-28 19:06:57,456: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40993/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36421/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42933/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:06:57,459: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44001/
[rosmaster.master][INFO] 2020-02-28 19:06:57,461: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44001/
[rosmaster.master][INFO] 2020-02-28 19:06:57,462: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44001/
[rosmaster.master][INFO] 2020-02-28 19:06:57,468: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38695/
[rosmaster.master][INFO] 2020-02-28 19:06:57,469: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38695/
