[rosmaster.main][INFO] 2019-12-29 03:22:49,815: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:22:49,815: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:22:49,816: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:22:49,816: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:22:49,816: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:22:49,816: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:22:49,865: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:49,866: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35411] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:49,943: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:49,944: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:49,950: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46581/
[rosmaster.master][INFO] 2019-12-29 03:22:49,951: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46581/
[rosmaster.master][INFO] 2019-12-29 03:22:49,952: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46581/
[rosmaster.master][INFO] 2019-12-29 03:22:49,955: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46581/
[rosmaster.master][INFO] 2019-12-29 03:22:52,174: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33299] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,176: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,176: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,176: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,176: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,177: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,177: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,177: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:22:52,177: +PARAM [/rosversion] by /roslaunch
