[rosmaster.main][INFO] 2019-12-26 19:47:07,589: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-26 19:47:07,589: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-26 19:47:07,590: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-12-26 19:47:07,590: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 19:47:07,590: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 19:47:07,590: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-26 19:47:07,658: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,661: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33649] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,746: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,747: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,747: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 19:47:07,748: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/
[rosmaster.master][INFO] 2019-12-26 19:47:07,749: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/
[rosmaster.master][INFO] 2019-12-26 19:47:07,750: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/
[rosmaster.master][INFO] 2019-12-26 19:47:07,753: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/
[rosmaster.master][INFO] 2019-12-26 19:47:07,769: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/
[rosmaster.master][INFO] 2019-12-26 19:47:07,770: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/
[rosmaster.master][INFO] 2019-12-26 19:47:07,771: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/
[rosmaster.master][INFO] 2019-12-26 19:47:07,776: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/
[rosmaster.master][INFO] 2019-12-26 19:47:07,777: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/
[rosmaster.master][INFO] 2019-12-26 19:47:07,777: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/
[rosmaster.master][INFO] 2019-12-26 19:47:07,790: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/']
[rosmaster.master][INFO] 2019-12-26 19:47:07,790: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36771/
[rosmaster.master][INFO] 2019-12-26 19:47:07,792: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36771/
[rosmaster.master][INFO] 2019-12-26 19:47:07,792: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-26 19:47:07,792: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/']
[rosmaster.master][INFO] 2019-12-26 19:47:07,793: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-26 19:47:07,793: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36771/
[rosmaster.master][INFO] 2019-12-26 19:47:07,793: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33669/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33779/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36353/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36771/']
