[rosmaster.main][INFO] 2019-12-20 01:53:23,130: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 01:53:23,130: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 01:53:23,131: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 01:53:23,132: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 01:53:23,132: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 01:53:23,132: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 01:53:23,192: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,195: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36043] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,274: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,275: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,275: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,276: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,276: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,276: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,276: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,276: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:53:23,278: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34337/
[rosmaster.master][INFO] 2019-12-20 01:53:23,279: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34337/
[rosmaster.master][INFO] 2019-12-20 01:53:23,280: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34337/
[rosmaster.master][INFO] 2019-12-20 01:53:23,283: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34337/
[rosmaster.master][INFO] 2019-12-20 01:53:23,298: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-20 01:53:23,299: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-20 01:53:23,299: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-20 01:53:23,309: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46395/
[rosmaster.master][INFO] 2019-12-20 01:53:23,310: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46395/
