[rosmaster.main][INFO] 2020-02-05 21:50:23,412: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 21:50:23,413: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 21:50:23,413: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 21:50:23,414: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 21:50:23,414: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:50:23,414: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 21:50:23,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,470: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44989] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,560: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,560: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,561: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,562: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:50:23,563: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/
[rosmaster.master][INFO] 2020-02-05 21:50:23,563: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/
[rosmaster.master][INFO] 2020-02-05 21:50:23,564: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/
[rosmaster.master][INFO] 2020-02-05 21:50:23,567: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/
[rosmaster.master][INFO] 2020-02-05 21:50:23,592: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,593: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,593: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,602: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,603: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,604: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,613: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/']
[rosmaster.master][INFO] 2020-02-05 21:50:23,616: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:50:23,616: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/']
[rosmaster.master][INFO] 2020-02-05 21:50:23,617: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:50:23,617: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,618: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,619: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,628: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44511/
[rosmaster.master][INFO] 2020-02-05 21:50:23,629: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44511/
[rosmaster.master][INFO] 2020-02-05 21:50:23,630: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44511/
[rosmaster.master][INFO] 2020-02-05 21:50:23,632: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,633: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,634: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,636: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,637: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,640: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,640: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,641: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,642: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,643: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,643: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,644: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,645: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,648: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,649: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,650: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,650: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,651: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,652: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,652: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,653: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,653: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,654: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,655: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,656: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,657: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,658: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,659: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,660: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,661: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,662: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,663: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,664: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,669: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,669: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,670: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,672: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,673: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,673: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,675: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,675: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,676: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,677: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,677: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,678: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,680: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,680: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,682: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,683: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,684: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,685: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,686: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,687: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,689: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,689: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
[rosmaster.master][INFO] 2020-02-05 21:50:23,690: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,691: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/
[rosmaster.master][INFO] 2020-02-05 21:50:23,697: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,699: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,699: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,700: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,701: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,701: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,702: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,703: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,704: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,705: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,706: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,707: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,708: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,709: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,709: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,710: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,710: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,711: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,712: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-05 21:50:23,712: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:50:23,713: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,714: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/']
[rosmaster.master][INFO] 2020-02-05 21:50:23,714: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:50:23,715: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:50:23,715: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37311/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43143/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44511/']
[rosmaster.master][INFO] 2020-02-05 21:50:23,715: +PUB [/usb_cam/image_color/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46061/
