[rosmaster.main][INFO] 2019-12-31 19:12:39,286: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 19:12:39,286: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 19:12:39,287: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 19:12:39,287: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 19:12:39,287: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 19:12:39,287: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 19:12:39,341: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:39,343: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45851] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:39,434: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:39,434: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:39,438: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36475/
[rosmaster.master][INFO] 2019-12-31 19:12:39,439: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36475/
[rosmaster.master][INFO] 2019-12-31 19:12:39,440: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36475/
[rosmaster.master][INFO] 2019-12-31 19:12:39,443: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36475/
[rosmaster.master][INFO] 2019-12-31 19:12:41,471: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38739] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,478: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,478: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,479: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,479: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,479: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,479: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,479: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,480: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,480: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:12:41,480: +PARAM [/usb_cam/image_height] by /roslaunch
