[rosmaster.main][INFO] 2020-02-26 21:39:49,275: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 21:39:49,275: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 21:39:49,277: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 21:39:49,277: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 21:39:49,277: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 21:39:49,278: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 21:39:49,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,382: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41095] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,516: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,517: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,518: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,518: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,518: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,518: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,519: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:39:49,521: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35839/
[rosmaster.master][INFO] 2020-02-26 21:39:49,523: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35839/
[rosmaster.master][INFO] 2020-02-26 21:39:49,525: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35839/
[rosmaster.master][INFO] 2020-02-26 21:39:49,532: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35839/
[rosmaster.master][INFO] 2020-02-26 21:39:49,582: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43999/
