[rosmaster.main][INFO] 2019-12-26 02:43:35,948: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-26 02:43:35,949: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-26 02:43:35,949: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-26 02:43:35,950: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 02:43:35,950: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-26 02:43:35,950: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-26 02:43:36,012: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,016: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44081] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,114: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,114: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 02:43:36,115: +PARAM [/usb_cam/image_height] by /roslaunch
