[rosmaster.main][INFO] 2020-02-28 17:26:57,751: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:26:57,751: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:26:57,752: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:26:57,752: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:26:57,752: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:26:57,753: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:26:57,807: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,809: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39509] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,908: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,909: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,910: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,910: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,910: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:26:57,911: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,911: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,912: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,915: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,939: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/
[rosmaster.master][INFO] 2020-02-28 17:26:57,940: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/
[rosmaster.master][INFO] 2020-02-28 17:26:57,941: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/
[rosmaster.master][INFO] 2020-02-28 17:26:57,952: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/']
[rosmaster.master][INFO] 2020-02-28 17:26:57,954: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37829/
[rosmaster.master][INFO] 2020-02-28 17:26:57,954: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:26:57,955: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37829/
[rosmaster.master][INFO] 2020-02-28 17:26:57,955: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37829/']
[rosmaster.master][INFO] 2020-02-28 17:26:57,956: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34071/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41885/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37829/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:26:57,956: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37829/
[rosmaster.master][INFO] 2020-02-28 17:26:57,960: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,961: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,961: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44071/
[rosmaster.master][INFO] 2020-02-28 17:26:57,971: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34719/
