[rosmaster.main][INFO] 2019-12-27 22:23:35,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:23:35,573: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:23:35,574: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-12-27 22:23:35,574: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:23:35,574: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:23:35,574: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:23:35,625: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:35,627: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39609] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:35,721: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:35,722: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:35,726: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-27 22:23:35,726: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-27 22:23:35,728: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-27 22:23:35,731: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-27 22:23:39,203: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41137] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,205: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,206: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,206: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,206: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,206: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:23:39,287: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40363/
[rosmaster.master][INFO] 2019-12-27 22:23:39,288: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40363/
[rosmaster.master][INFO] 2019-12-27 22:23:39,288: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40363/
[rosmaster.master][INFO] 2019-12-27 22:23:39,294: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41711/
[rosmaster.master][INFO] 2019-12-27 22:23:39,295: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41711/
[rosmaster.master][INFO] 2019-12-27 22:23:39,296: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41711/
[rosmaster.master][INFO] 2019-12-27 22:23:39,302: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39207/
[rosmaster.master][INFO] 2019-12-27 22:23:39,303: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39207/
[rosmaster.master][INFO] 2019-12-27 22:23:39,304: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39207/
[rosmaster.master][INFO] 2019-12-27 22:23:39,309: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40201/
[rosmaster.master][INFO] 2019-12-27 22:23:39,310: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40201/
[rosmaster.master][INFO] 2019-12-27 22:23:39,310: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40201/
[rosmaster.master][INFO] 2019-12-27 22:23:39,325: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40363/
[rosmaster.master][INFO] 2019-12-27 22:23:39,326: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40363/
