[rosmaster.main][INFO] 2020-02-28 20:25:55,931: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 20:25:55,931: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 20:25:55,932: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 20:25:55,932: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 20:25:55,932: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 20:25:55,932: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 20:25:55,984: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:55,987: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38151] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,077: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,078: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2020-02-28 20:25:56,079: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,080: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:25:56,080: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2020-02-28 20:25:56,082: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2020-02-28 20:25:56,084: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2020-02-28 20:25:56,122: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43145/
[rosmaster.master][INFO] 2020-02-28 20:25:56,123: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46043/
[rosmaster.master][INFO] 2020-02-28 20:25:56,124: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43145/
