[rosmaster.main][INFO] 2020-02-28 17:12:39,829: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:12:39,829: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:12:39,830: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:12:39,830: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:12:39,830: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:12:39,830: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:12:39,884: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,885: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35437] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,977: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,977: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,977: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,977: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,977: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,978: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,978: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,978: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,978: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,978: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,979: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,979: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,979: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,979: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:12:39,979: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/
[rosmaster.master][INFO] 2020-02-28 17:12:39,980: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/
[rosmaster.master][INFO] 2020-02-28 17:12:39,981: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/
[rosmaster.master][INFO] 2020-02-28 17:12:39,984: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/
[rosmaster.master][INFO] 2020-02-28 17:12:40,007: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,008: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,009: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,019: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,020: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,020: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,028: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46359/
[rosmaster.master][INFO] 2020-02-28 17:12:40,029: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46359/
[rosmaster.master][INFO] 2020-02-28 17:12:40,030: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46359/
[rosmaster.master][INFO] 2020-02-28 17:12:40,030: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/']
[rosmaster.master][INFO] 2020-02-28 17:12:40,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:12:40,033: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/']
[rosmaster.master][INFO] 2020-02-28 17:12:40,033: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:12:40,033: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46359/']
[rosmaster.master][INFO] 2020-02-28 17:12:40,035: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40399/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46359/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:12:40,043: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44837/
[rosmaster.master][INFO] 2020-02-28 17:12:40,044: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44837/
[rosmaster.master][INFO] 2020-02-28 17:12:40,045: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44837/
[rosmaster.master][INFO] 2020-02-28 17:12:40,049: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,050: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,051: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,052: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:12:40,052: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:12:40,054: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,055: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,056: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,057: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,058: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,059: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
[rosmaster.master][INFO] 2020-02-28 17:12:40,060: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45437/
[rosmaster.master][INFO] 2020-02-28 17:12:40,060: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39179/
