[rosmaster.main][INFO] 2019-12-31 18:44:07,309: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 18:44:07,309: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 18:44:07,310: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 18:44:07,310: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 18:44:07,310: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 18:44:07,310: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 18:44:07,372: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,375: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43679] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,457: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,457: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,457: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,457: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,458: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:44:07,460: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/
[rosmaster.master][INFO] 2019-12-31 18:44:07,460: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/
[rosmaster.master][INFO] 2019-12-31 18:44:07,461: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/
[rosmaster.master][INFO] 2019-12-31 18:44:07,464: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/
[rosmaster.master][INFO] 2019-12-31 18:44:07,485: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/
[rosmaster.master][INFO] 2019-12-31 18:44:07,486: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/
[rosmaster.master][INFO] 2019-12-31 18:44:07,486: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/
[rosmaster.master][INFO] 2019-12-31 18:44:07,493: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/
[rosmaster.master][INFO] 2019-12-31 18:44:07,494: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/
[rosmaster.master][INFO] 2019-12-31 18:44:07,495: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/
[rosmaster.master][INFO] 2019-12-31 18:44:07,496: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2019-12-31 18:44:07,497: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2019-12-31 18:44:07,498: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2019-12-31 18:44:07,507: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46143/
[rosmaster.master][INFO] 2019-12-31 18:44:07,507: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46143/
[rosmaster.master][INFO] 2019-12-31 18:44:07,508: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46143/
[rosmaster.master][INFO] 2019-12-31 18:44:07,510: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/']
[rosmaster.master][INFO] 2019-12-31 18:44:07,512: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 18:44:07,512: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/']
[rosmaster.master][INFO] 2019-12-31 18:44:07,513: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 18:44:07,513: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/']
[rosmaster.master][INFO] 2019-12-31 18:44:07,513: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 18:44:07,514: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42691/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41533/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44029/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46143/']
