[rosmaster.main][INFO] 2020-02-28 17:41:19,281: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:41:19,282: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:41:19,282: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:41:19,283: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:41:19,283: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:41:19,283: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:41:19,335: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,338: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45723] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,433: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,434: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,435: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,435: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,435: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,435: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,435: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:41:19,436: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/
[rosmaster.master][INFO] 2020-02-28 17:41:19,436: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/
[rosmaster.master][INFO] 2020-02-28 17:41:19,438: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/
[rosmaster.master][INFO] 2020-02-28 17:41:19,440: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/
[rosmaster.master][INFO] 2020-02-28 17:41:19,471: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,472: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,473: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,473: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,474: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,475: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,481: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,482: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,483: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/']
[rosmaster.master][INFO] 2020-02-28 17:41:19,484: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,485: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:41:19,485: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/']
[rosmaster.master][INFO] 2020-02-28 17:41:19,486: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:41:19,486: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/']
[rosmaster.master][INFO] 2020-02-28 17:41:19,487: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:41:19,491: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37807/
[rosmaster.master][INFO] 2020-02-28 17:41:19,492: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37807/
[rosmaster.master][INFO] 2020-02-28 17:41:19,493: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37807/
[rosmaster.master][INFO] 2020-02-28 17:41:19,508: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,508: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,509: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,510: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,511: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,512: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,513: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,514: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,514: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,518: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,519: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,520: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,521: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,522: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,523: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,524: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,525: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,527: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,527: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,528: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,529: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,531: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,532: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,535: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,536: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,538: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,539: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,540: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,540: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,541: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,542: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,543: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,544: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,545: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,546: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,546: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,548: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,549: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,549: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,550: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,551: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,553: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,553: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,554: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,556: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,556: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,557: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,558: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,559: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,560: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,562: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,562: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,564: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,565: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,566: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/
[rosmaster.master][INFO] 2020-02-28 17:41:19,567: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,567: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,568: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,569: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,569: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,570: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,570: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,571: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,572: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,573: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,573: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,574: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,575: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,575: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,576: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,577: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,578: +PUB [/usb_cam/image_color/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,579: +SERVICE [/usb_cam/image_color/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,581: +PUB [/usb_cam/image_color/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,582: +PUB [/usb_cam/image_color/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,583: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37807/']
[rosmaster.master][INFO] 2020-02-28 17:41:19,584: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,584: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36307/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36067/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37807/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:41:19,585: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,586: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,586: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,587: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,588: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,588: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,589: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,589: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,590: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,590: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,591: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,591: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,592: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:41:19,593: +PUB [/usb_cam/image_color/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,593: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,594: +SERVICE [/usb_cam/image_color/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,595: +PUB [/usb_cam/image_color/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,596: +PUB [/usb_cam/image_color/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,600: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,602: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,603: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,605: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,609: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,611: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,613: +PUB [/usb_cam/image_color] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,615: +PUB [/usb_cam/image_color/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,616: +SERVICE [/usb_cam/image_color/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,618: +PUB [/usb_cam/image_color/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,619: +PUB [/usb_cam/image_color/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,628: +PARAM [/usb_cam/image_color/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,629: +PARAM [/usb_cam/image_color/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,631: +PARAM [/usb_cam/image_color/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,632: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,633: +PARAM [/usb_cam/image_color/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,633: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,634: +PARAM [/usb_cam/image_color/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,635: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41269/
[rosmaster.master][INFO] 2020-02-28 17:41:19,636: +PARAM [/usb_cam/image_color/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,636: +PARAM [/usb_cam/image_color/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,637: +PARAM [/usb_cam/image_color/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:41:19,640: +SERVICE [/usb_cam/image_proc_rectify_mono/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,641: +PUB [/usb_cam/image_proc_rectify_mono/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,644: +PUB [/usb_cam/image_proc_rectify_mono/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-28 17:41:19,645: +PARAM [/usb_cam/image_proc_rectify_mono/interpolation] by /usb_cam/image_proc
