[rosmaster.main][INFO] 2020-01-31 16:41:29,892: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 16:41:29,892: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 16:41:29,893: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 16:41:29,893: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 16:41:29,893: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 16:41:29,893: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 16:41:29,956: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:29,960: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46143] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,062: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,063: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:41:30,065: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/
[rosmaster.master][INFO] 2020-01-31 16:41:30,065: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/
[rosmaster.master][INFO] 2020-01-31 16:41:30,067: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/
[rosmaster.master][INFO] 2020-01-31 16:41:30,070: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/
[rosmaster.master][INFO] 2020-01-31 16:41:30,086: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,087: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,088: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,093: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/']
[rosmaster.master][INFO] 2020-01-31 16:41:30,095: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44683/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-31 16:41:30,096: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,097: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,097: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,106: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,106: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,107: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,122: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35039/
[rosmaster.master][INFO] 2020-01-31 16:41:30,122: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35039/
[rosmaster.master][INFO] 2020-01-31 16:41:30,123: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35039/
[rosmaster.master][INFO] 2020-01-31 16:41:30,125: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,127: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,127: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,128: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,128: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,129: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,131: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,134: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,134: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,135: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,136: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,138: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,139: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,140: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,141: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,142: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,143: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,144: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,145: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,146: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,147: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,149: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,150: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,151: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,151: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,152: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,154: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,155: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,156: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,156: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,158: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,158: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,159: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,161: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,162: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,163: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,163: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,164: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,165: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,166: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 16:41:30,167: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40875/
[rosmaster.master][INFO] 2020-01-31 16:41:30,168: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,170: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,172: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,172: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,173: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,173: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,174: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,175: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,176: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,176: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39083/
[rosmaster.master][INFO] 2020-01-31 16:41:30,178: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,178: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,180: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-31 16:41:30,180: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
[rosmaster.master][INFO] 2020-01-31 16:41:30,181: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33699/
