[rosmaster.main][INFO] 2019-12-31 09:25:50,115: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:25:50,115: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:25:50,116: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:25:50,116: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:25:50,116: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:25:50,116: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:25:50,184: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,188: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38973] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,264: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,265: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,265: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,265: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,265: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,265: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:25:50,266: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45797/
[rosmaster.master][INFO] 2019-12-31 09:25:50,267: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45797/
[rosmaster.master][INFO] 2019-12-31 09:25:50,268: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45797/
[rosmaster.master][INFO] 2019-12-31 09:25:50,270: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45797/
[rosmaster.master][INFO] 2019-12-31 09:25:50,287: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46003/
[rosmaster.master][INFO] 2019-12-31 09:25:50,289: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46003/
[rosmaster.master][INFO] 2019-12-31 09:25:50,289: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46003/
[rosmaster.master][INFO] 2019-12-31 09:25:50,297: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42295/
[rosmaster.master][INFO] 2019-12-31 09:25:50,298: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42295/
[rosmaster.master][INFO] 2019-12-31 09:25:50,298: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42295/
[rosmaster.master][INFO] 2019-12-31 09:25:50,304: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39507/
[rosmaster.master][INFO] 2019-12-31 09:25:50,305: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39507/
