[rosmaster.main][INFO] 2020-02-29 00:00:46,595: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-29 00:00:46,595: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-29 00:00:46,596: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-29 00:00:46,596: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-29 00:00:46,596: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-29 00:00:46,596: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-29 00:00:46,657: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,658: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35629] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,724: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,725: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,726: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,726: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:00:46,727: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/
[rosmaster.master][INFO] 2020-02-29 00:00:46,727: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/
[rosmaster.master][INFO] 2020-02-29 00:00:46,728: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/
[rosmaster.master][INFO] 2020-02-29 00:00:46,731: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/
[rosmaster.master][INFO] 2020-02-29 00:00:46,754: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,755: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,756: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,766: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,767: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,768: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,776: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,776: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,777: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,793: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34295/
[rosmaster.master][INFO] 2020-02-29 00:00:46,794: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34295/
[rosmaster.master][INFO] 2020-02-29 00:00:46,795: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34295/
[rosmaster.master][INFO] 2020-02-29 00:00:46,796: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/']
[rosmaster.master][INFO] 2020-02-29 00:00:46,798: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-29 00:00:46,799: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/']
[rosmaster.master][INFO] 2020-02-29 00:00:46,801: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-29 00:00:46,802: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/']
[rosmaster.master][INFO] 2020-02-29 00:00:46,802: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-29 00:00:46,803: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34295/']
[rosmaster.master][INFO] 2020-02-29 00:00:46,803: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38499/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34295/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-29 00:00:46,809: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,810: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,811: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,813: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,814: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,817: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,818: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,819: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,820: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,821: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,822: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,823: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,825: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,828: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,830: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,830: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,832: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,833: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,833: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,835: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,835: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,836: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,838: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,839: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,840: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,840: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,841: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,842: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,843: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,844: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,845: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,846: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,847: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,850: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,854: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,855: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,857: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,858: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,860: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,860: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,865: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,865: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,867: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,867: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,868: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,869: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,869: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,870: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,870: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,871: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,871: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,872: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,873: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,875: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,875: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,876: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,877: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,877: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,878: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44339/
[rosmaster.master][INFO] 2020-02-29 00:00:46,878: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,879: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,880: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35101/
[rosmaster.master][INFO] 2020-02-29 00:00:46,881: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37069/
[rosmaster.master][INFO] 2020-02-29 00:00:46,885: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,886: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,886: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,888: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,889: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,889: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,890: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,891: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,891: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,892: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,893: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-29 00:00:46,893: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-29 00:00:46,894: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
