[rosmaster.main][INFO] 2019-12-28 02:48:38,785: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 02:48:38,785: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 02:48:38,786: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 02:48:38,786: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 02:48:38,786: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 02:48:38,786: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 02:48:38,845: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,845: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44089] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,920: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,921: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,921: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,921: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,921: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,922: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:48:38,922: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40933/
[rosmaster.master][INFO] 2019-12-28 02:48:38,923: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40933/
[rosmaster.master][INFO] 2019-12-28 02:48:38,924: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40933/
[rosmaster.master][INFO] 2019-12-28 02:48:38,928: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40933/
[rosmaster.master][INFO] 2019-12-28 02:48:38,954: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44289/
[rosmaster.master][INFO] 2019-12-28 02:48:38,956: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44289/
[rosmaster.master][INFO] 2019-12-28 02:48:38,956: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44289/
[rosmaster.master][INFO] 2019-12-28 02:48:38,957: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-28 02:48:38,958: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-28 02:48:38,959: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-28 02:48:38,967: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38347/
[rosmaster.master][INFO] 2019-12-28 02:48:38,968: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38347/
[rosmaster.master][INFO] 2019-12-28 02:48:38,969: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38347/
[rosmaster.master][INFO] 2019-12-28 02:48:38,986: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38469/
[rosmaster.master][INFO] 2019-12-28 02:48:38,986: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40933/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44289/']
[rosmaster.master][INFO] 2019-12-28 02:48:38,987: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38469/
