[rosmaster.main][INFO] 2019-12-31 21:43:17,488: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:43:17,488: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:43:17,489: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:43:17,489: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:43:17,489: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:43:17,489: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:43:17,540: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:17,544: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36629] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:17,636: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:17,636: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:17,641: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2019-12-31 21:43:17,642: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2019-12-31 21:43:17,643: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2019-12-31 21:43:17,646: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2019-12-31 21:43:20,542: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41875] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,545: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,545: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,545: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,546: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:43:20,630: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,631: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,631: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,636: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,636: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,637: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,648: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-12-31 21:43:20,649: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-12-31 21:43:20,650: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-12-31 21:43:20,658: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43467/
[rosmaster.master][INFO] 2019-12-31 21:43:20,659: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43467/
[rosmaster.master][INFO] 2019-12-31 21:43:20,660: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43467/
[rosmaster.master][INFO] 2019-12-31 21:43:20,667: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,668: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,669: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,670: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,671: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,674: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,675: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,675: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,676: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,677: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,679: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,680: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,682: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
[rosmaster.master][INFO] 2019-12-31 21:43:20,682: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,684: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,685: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,687: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,688: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,689: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,690: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,690: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:43:20,691: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,692: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,693: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,694: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,694: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,695: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,696: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 21:43:20,696: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/']
[rosmaster.master][INFO] 2019-12-31 21:43:20,698: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37443/
[rosmaster.master][INFO] 2019-12-31 21:43:20,699: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 21:43:20,700: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37441/
