[rosmaster.main][INFO] 2019-12-21 12:36:49,565: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-21 12:36:49,565: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-21 12:36:49,566: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-21 12:36:49,566: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-21 12:36:49,566: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-21 12:36:49,566: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-21 12:36:49,627: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,630: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40191] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,726: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,727: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,727: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,727: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 12:36:49,728: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42123/
[rosmaster.master][INFO] 2019-12-21 12:36:49,728: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42123/
[rosmaster.master][INFO] 2019-12-21 12:36:49,730: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42123/
[rosmaster.master][INFO] 2019-12-21 12:36:49,732: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42123/
[rosmaster.master][INFO] 2019-12-21 12:36:49,754: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/
[rosmaster.master][INFO] 2019-12-21 12:36:49,755: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/
