[rosmaster.main][INFO] 2019-12-25 01:33:32,251: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-25 01:33:32,251: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-25 01:33:32,252: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-25 01:33:32,253: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-25 01:33:32,253: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-25 01:33:32,253: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-25 01:33:32,348: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:32,350: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38263] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:32,459: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:32,459: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:32,467: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/
[rosmaster.master][INFO] 2019-12-25 01:33:32,469: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/
[rosmaster.master][INFO] 2019-12-25 01:33:32,471: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/
[rosmaster.master][INFO] 2019-12-25 01:33:32,475: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/
[rosmaster.master][INFO] 2019-12-25 01:33:53,052: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38319] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,055: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,055: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,055: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,055: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,055: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,056: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,056: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,056: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 01:33:53,167: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,168: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,169: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,182: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/']
[rosmaster.master][INFO] 2019-12-25 01:33:53,184: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33493/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-25 01:33:53,188: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43239/
[rosmaster.master][INFO] 2019-12-25 01:33:53,189: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43239/
[rosmaster.master][INFO] 2019-12-25 01:33:53,190: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43239/
[rosmaster.master][INFO] 2019-12-25 01:33:53,221: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,222: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,223: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,224: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45095/
[rosmaster.master][INFO] 2019-12-25 01:33:53,227: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-25 01:33:53,228: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
