[rosmaster.main][INFO] 2019-12-31 09:04:33,823: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:04:33,823: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:04:33,824: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:04:33,824: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:04:33,824: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:04:33,824: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:04:33,885: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,887: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38659] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,984: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,984: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,984: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,984: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,984: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,985: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:04:33,986: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/
[rosmaster.master][INFO] 2019-12-31 09:04:33,987: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/
[rosmaster.master][INFO] 2019-12-31 09:04:33,988: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/
[rosmaster.master][INFO] 2019-12-31 09:04:33,991: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/
[rosmaster.master][INFO] 2019-12-31 09:04:34,013: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,013: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,014: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,020: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,021: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,022: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40037/
[rosmaster.master][INFO] 2019-12-31 09:04:34,023: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,023: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40037/
[rosmaster.master][INFO] 2019-12-31 09:04:34,024: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/']
[rosmaster.master][INFO] 2019-12-31 09:04:34,026: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40037/
[rosmaster.master][INFO] 2019-12-31 09:04:34,027: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:04:34,027: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/']
[rosmaster.master][INFO] 2019-12-31 09:04:34,028: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:04:34,028: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40037/']
[rosmaster.master][INFO] 2019-12-31 09:04:34,029: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39879/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40037/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:04:34,033: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-31 09:04:34,034: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-31 09:04:34,035: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-31 09:04:34,054: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,055: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,056: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,057: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45089/
[rosmaster.master][INFO] 2019-12-31 09:04:34,059: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,061: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,062: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39329/
[rosmaster.master][INFO] 2019-12-31 09:04:34,063: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
