[rosmaster.main][INFO] 2020-01-30 16:57:14,372: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 16:57:14,372: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 16:57:14,373: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 16:57:14,373: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 16:57:14,373: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 16:57:14,373: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 16:57:14,430: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,432: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35851] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,527: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,528: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:57:14,530: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 16:57:14,530: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 16:57:14,531: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 16:57:14,534: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 16:57:14,554: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,556: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,556: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,559: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,560: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,561: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,569: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-01-30 16:57:14,570: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-01-30 16:57:14,570: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-01-30 16:57:14,572: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/']
[rosmaster.master][INFO] 2020-01-30 16:57:14,574: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 16:57:14,574: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/']
[rosmaster.master][INFO] 2020-01-30 16:57:14,574: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 16:57:14,574: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/']
[rosmaster.master][INFO] 2020-01-30 16:57:14,575: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 16:57:14,585: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33603/
[rosmaster.master][INFO] 2020-01-30 16:57:14,586: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33603/
[rosmaster.master][INFO] 2020-01-30 16:57:14,587: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33603/
[rosmaster.master][INFO] 2020-01-30 16:57:14,590: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,592: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,592: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,593: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,594: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,595: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,596: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,597: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 16:57:14,599: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 16:57:14,601: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,602: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,603: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,604: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,604: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,605: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,606: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,607: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34985/
[rosmaster.master][INFO] 2020-01-30 16:57:14,607: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,608: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 16:57:14,610: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,611: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,612: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 16:57:14,613: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
[rosmaster.master][INFO] 2020-01-30 16:57:14,613: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-01-30 16:57:14,614: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 16:57:14,614: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35089/
