[rosmaster.main][INFO] 2019-12-27 22:16:44,470: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:16:44,470: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:16:44,471: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:16:44,471: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:16:44,471: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:16:44,472: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:16:44,522: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:44,523: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45025] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:44,608: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:44,608: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:44,613: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32961/
[rosmaster.master][INFO] 2019-12-27 22:16:44,613: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32961/
[rosmaster.master][INFO] 2019-12-27 22:16:44,614: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32961/
[rosmaster.master][INFO] 2019-12-27 22:16:44,617: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32961/
[rosmaster.master][INFO] 2019-12-27 22:16:46,745: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38123] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,747: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,747: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,747: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,747: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,747: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,748: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:16:46,833: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37789/
[rosmaster.master][INFO] 2019-12-27 22:16:46,834: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37789/
[rosmaster.master][INFO] 2019-12-27 22:16:46,834: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37789/
[rosmaster.master][INFO] 2019-12-27 22:16:46,837: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43477/
[rosmaster.master][INFO] 2019-12-27 22:16:46,838: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43477/
