[rosmaster.main][INFO] 2019-12-27 22:09:36,707: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:09:36,707: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:09:36,708: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:09:36,708: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:09:36,708: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:09:36,708: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:09:36,757: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:36,758: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33207] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:36,847: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:36,848: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:36,853: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/
[rosmaster.master][INFO] 2019-12-27 22:09:36,854: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/
[rosmaster.master][INFO] 2019-12-27 22:09:36,855: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/
[rosmaster.master][INFO] 2019-12-27 22:09:36,859: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/
[rosmaster.master][INFO] 2019-12-27 22:09:39,143: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44781] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,146: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,147: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,147: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,147: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:09:39,227: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,228: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,229: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,239: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,240: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,240: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,247: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,249: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,250: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,259: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36163/
[rosmaster.master][INFO] 2019-12-27 22:09:39,260: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36163/
[rosmaster.master][INFO] 2019-12-27 22:09:39,261: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36163/
[rosmaster.master][INFO] 2019-12-27 22:09:39,272: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,273: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,273: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,275: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,276: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,277: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,277: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,279: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,280: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,281: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,282: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,283: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,285: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,286: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,287: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,289: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,290: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,290: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,291: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,292: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,293: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,293: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,295: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,295: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,296: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,297: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,298: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,299: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,299: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,300: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,301: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,302: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,304: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,305: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,306: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,308: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,309: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,311: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,311: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,312: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,313: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,314: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,314: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/']
[rosmaster.master][INFO] 2019-12-27 22:09:39,315: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,318: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,319: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:09:39,319: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/']
[rosmaster.master][INFO] 2019-12-27 22:09:39,320: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,320: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:09:39,321: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/']
[rosmaster.master][INFO] 2019-12-27 22:09:39,321: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,322: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:09:39,323: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,323: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,323: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36163/']
[rosmaster.master][INFO] 2019-12-27 22:09:39,325: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36063/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36163/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:09:39,326: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,326: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,327: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,328: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,329: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,329: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,331: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,332: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,333: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,334: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,335: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,336: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,337: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36231/
[rosmaster.master][INFO] 2019-12-27 22:09:39,338: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,339: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,339: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,340: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,342: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,342: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,343: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,344: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,344: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,345: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,345: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,346: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,346: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,348: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:09:39,348: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,349: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,349: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,350: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,351: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,353: +PUB [/usb_cam/image_color/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,354: +SERVICE [/usb_cam/image_color/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,355: +PUB [/usb_cam/image_color/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,356: +PUB [/usb_cam/image_color/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,359: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,360: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,361: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,362: +PARAM [/usb_cam/image_color/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,363: +PARAM [/usb_cam/image_color/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,364: +PARAM [/usb_cam/image_color/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,365: +PUB [/usb_cam/image_color/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,367: +SERVICE [/usb_cam/image_color/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,368: +PUB [/usb_cam/image_color/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,369: +PUB [/usb_cam/image_color/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,375: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,376: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,378: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,379: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,380: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40475/
[rosmaster.master][INFO] 2019-12-27 22:09:39,381: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,382: +PARAM [/usb_cam/image_color/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,389: +PARAM [/usb_cam/image_color/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,390: +PARAM [/usb_cam/image_color/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,391: +PUB [/usb_cam/image_color] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,394: +PUB [/usb_cam/image_color/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,395: +SERVICE [/usb_cam/image_color/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,396: +PUB [/usb_cam/image_color/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,399: +PUB [/usb_cam/image_color/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41073/
[rosmaster.master][INFO] 2019-12-27 22:09:39,403: +PARAM [/usb_cam/image_color/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,405: +PARAM [/usb_cam/image_color/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,407: +PARAM [/usb_cam/image_color/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,408: +PARAM [/usb_cam/image_color/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,409: +PARAM [/usb_cam/image_color/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:09:39,410: +PARAM [/usb_cam/image_color/theora/target_bitrate] by /usb_cam/image_proc
