[rosmaster.main][INFO] 2020-01-31 23:29:48,136: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 23:29:48,136: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 23:29:48,137: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 23:29:48,137: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 23:29:48,137: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 23:29:48,137: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 23:29:48,194: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,195: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42759] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,267: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,268: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,269: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,269: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,269: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,269: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 23:29:48,270: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44581/
[rosmaster.master][INFO] 2020-01-31 23:29:48,270: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44581/
[rosmaster.master][INFO] 2020-01-31 23:29:48,271: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44581/
[rosmaster.master][INFO] 2020-01-31 23:29:48,274: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44581/
[rosmaster.master][INFO] 2020-01-31 23:29:48,291: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36573/
[rosmaster.master][INFO] 2020-01-31 23:29:48,293: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36573/
[rosmaster.master][INFO] 2020-01-31 23:29:48,294: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36573/
[rosmaster.master][INFO] 2020-01-31 23:29:48,300: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45505/
[rosmaster.master][INFO] 2020-01-31 23:29:48,300: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45505/
[rosmaster.master][INFO] 2020-01-31 23:29:48,301: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45505/
