[rosmaster.main][INFO] 2019-12-30 05:02:25,968: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-30 05:02:25,969: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-30 05:02:25,970: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-30 05:02:25,970: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-30 05:02:25,970: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-30 05:02:25,970: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-30 05:02:26,017: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:26,019: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43741] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:26,095: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:26,095: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:26,100: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42431/
[rosmaster.master][INFO] 2019-12-30 05:02:26,102: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42431/
[rosmaster.master][INFO] 2019-12-30 05:02:26,104: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42431/
[rosmaster.master][INFO] 2019-12-30 05:02:26,107: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42431/
[rosmaster.master][INFO] 2019-12-30 05:02:28,631: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45231] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,633: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,634: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 05:02:28,720: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45977/
[rosmaster.master][INFO] 2019-12-30 05:02:28,722: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45977/
[rosmaster.master][INFO] 2019-12-30 05:02:28,722: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45977/
[rosmaster.master][INFO] 2019-12-30 05:02:28,731: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38419/
[rosmaster.master][INFO] 2019-12-30 05:02:28,733: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38419/
[rosmaster.master][INFO] 2019-12-30 05:02:28,734: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38419/
[rosmaster.master][INFO] 2019-12-30 05:02:28,741: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33741/
[rosmaster.master][INFO] 2019-12-30 05:02:28,741: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33741/
[rosmaster.master][INFO] 2019-12-30 05:02:28,742: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33741/
[rosmaster.master][INFO] 2019-12-30 05:02:28,745: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:32965/
[rosmaster.master][INFO] 2019-12-30 05:02:28,746: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:32965/
