[rosmaster.main][INFO] 2019-12-22 14:23:07,797: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:23:07,797: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:23:07,798: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:23:07,798: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:23:07,798: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:23:07,798: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:23:07,870: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:07,871: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38263] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:07,941: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:07,941: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:07,976: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/
[rosmaster.master][INFO] 2019-12-22 14:23:07,976: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/
[rosmaster.master][INFO] 2019-12-22 14:23:07,977: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/
[rosmaster.master][INFO] 2019-12-22 14:23:07,980: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/
[rosmaster.master][INFO] 2019-12-22 14:23:11,753: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46427] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,755: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:23:11,886: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34631/
[rosmaster.master][INFO] 2019-12-22 14:23:11,887: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34631/
[rosmaster.master][INFO] 2019-12-22 14:23:11,888: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34631/
[rosmaster.master][INFO] 2019-12-22 14:23:11,907: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34631/']
[rosmaster.master][INFO] 2019-12-22 14:23:11,908: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34631/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 14:23:11,947: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43619/
[rosmaster.master][INFO] 2019-12-22 14:23:11,947: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43619/
