[rosmaster.main][INFO] 2020-02-29 00:01:02,278: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-29 00:01:02,279: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-29 00:01:02,279: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-29 00:01:02,280: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-29 00:01:02,280: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-29 00:01:02,280: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-29 00:01:02,343: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,344: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46357] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,407: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,407: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,408: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:01:02,410: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2020-02-29 00:01:02,410: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2020-02-29 00:01:02,411: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2020-02-29 00:01:02,414: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41665/
[rosmaster.master][INFO] 2020-02-29 00:01:02,445: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45575/
[rosmaster.master][INFO] 2020-02-29 00:01:02,447: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45575/
[rosmaster.master][INFO] 2020-02-29 00:01:02,448: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2020-02-29 00:01:02,449: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45575/
[rosmaster.master][INFO] 2020-02-29 00:01:02,452: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2020-02-29 00:01:02,454: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2020-02-29 00:01:02,455: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46861/
[rosmaster.master][INFO] 2020-02-29 00:01:02,456: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46861/
[rosmaster.master][INFO] 2020-02-29 00:01:02,457: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46861/
[rosmaster.master][INFO] 2020-02-29 00:01:02,468: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43753/
