[rosmaster.main][INFO] 2020-02-28 18:03:08,934: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 18:03:08,934: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 18:03:08,934: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 18:03:08,935: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 18:03:08,935: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 18:03:08,935: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 18:03:08,987: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:08,988: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46627] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,076: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:03:09,078: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/
[rosmaster.master][INFO] 2020-02-28 18:03:09,078: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/
[rosmaster.master][INFO] 2020-02-28 18:03:09,079: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/
[rosmaster.master][INFO] 2020-02-28 18:03:09,082: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/
[rosmaster.master][INFO] 2020-02-28 18:03:09,110: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-28 18:03:09,111: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-28 18:03:09,112: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-28 18:03:09,122: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/
[rosmaster.master][INFO] 2020-02-28 18:03:09,124: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/
[rosmaster.master][INFO] 2020-02-28 18:03:09,124: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43409/
[rosmaster.master][INFO] 2020-02-28 18:03:09,125: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/
[rosmaster.master][INFO] 2020-02-28 18:03:09,126: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43409/
[rosmaster.master][INFO] 2020-02-28 18:03:09,127: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43409/
[rosmaster.master][INFO] 2020-02-28 18:03:09,134: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/']
[rosmaster.master][INFO] 2020-02-28 18:03:09,136: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:03:09,136: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/']
[rosmaster.master][INFO] 2020-02-28 18:03:09,137: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:03:09,137: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43409/']
[rosmaster.master][INFO] 2020-02-28 18:03:09,138: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34397/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43409/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:03:09,139: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34169/
[rosmaster.master][INFO] 2020-02-28 18:03:09,140: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34169/
[rosmaster.master][INFO] 2020-02-28 18:03:09,140: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34169/
[rosmaster.master][INFO] 2020-02-28 18:03:09,165: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-28 18:03:09,166: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-28 18:03:09,167: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
