[rosmaster.main][INFO] 2019-12-18 01:27:39,572: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:27:39,572: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:27:39,573: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:27:39,573: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:27:39,574: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:27:39,574: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:27:39,638: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,641: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39579] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,720: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,721: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,721: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,722: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,722: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,722: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,722: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,722: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:27:39,724: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/
[rosmaster.master][INFO] 2019-12-18 01:27:39,724: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/
[rosmaster.master][INFO] 2019-12-18 01:27:39,725: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/
[rosmaster.master][INFO] 2019-12-18 01:27:39,728: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/
[rosmaster.master][INFO] 2019-12-18 01:27:39,745: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/
[rosmaster.master][INFO] 2019-12-18 01:27:39,745: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/
[rosmaster.master][INFO] 2019-12-18 01:27:39,746: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/
[rosmaster.master][INFO] 2019-12-18 01:27:39,754: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46541/
[rosmaster.master][INFO] 2019-12-18 01:27:39,755: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46541/
[rosmaster.master][INFO] 2019-12-18 01:27:39,755: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46541/
[rosmaster.master][INFO] 2019-12-18 01:27:39,773: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/']
[rosmaster.master][INFO] 2019-12-18 01:27:39,775: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:27:39,775: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42217/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42587/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46541/']
