[rosmaster.main][INFO] 2020-02-28 15:54:19,518: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 15:54:19,518: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 15:54:19,519: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 15:54:19,519: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 15:54:19,519: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 15:54:19,519: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 15:54:19,580: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:54:19,581: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37699] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:54:19,646: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:54:19,646: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:54:19,651: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/
[rosmaster.master][INFO] 2020-02-28 15:54:19,651: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/
[rosmaster.master][INFO] 2020-02-28 15:54:19,653: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/
[rosmaster.master][INFO] 2020-02-28 15:54:19,655: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/
[rosmaster.master][INFO] 2020-02-28 15:55:48,711: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37719] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,714: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,714: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,714: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,714: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,714: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,715: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 15:55:48,815: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/
[rosmaster.master][INFO] 2020-02-28 15:55:48,816: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/
[rosmaster.master][INFO] 2020-02-28 15:55:48,817: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/
[rosmaster.master][INFO] 2020-02-28 15:55:48,820: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,821: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,822: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,823: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/']
[rosmaster.master][INFO] 2020-02-28 15:55:48,826: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 15:55:48,826: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/']
[rosmaster.master][INFO] 2020-02-28 15:55:48,827: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42433/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36937/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 15:55:48,831: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46431/
[rosmaster.master][INFO] 2020-02-28 15:55:48,834: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46431/
[rosmaster.master][INFO] 2020-02-28 15:55:48,836: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46431/
[rosmaster.master][INFO] 2020-02-28 15:55:48,843: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38953/
[rosmaster.master][INFO] 2020-02-28 15:55:48,844: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38953/
[rosmaster.master][INFO] 2020-02-28 15:55:48,844: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38953/
[rosmaster.master][INFO] 2020-02-28 15:55:48,875: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,876: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,877: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40005/
[rosmaster.master][INFO] 2020-02-28 15:55:48,878: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 15:55:48,879: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
