[rosmaster.main][INFO] 2019-12-31 09:26:10,850: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:26:10,850: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:26:10,850: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:26:10,851: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:26:10,851: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:26:10,851: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:26:10,902: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,904: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43255] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,982: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,982: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,982: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,982: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,982: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,983: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,984: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:26:10,984: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/
[rosmaster.master][INFO] 2019-12-31 09:26:10,985: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/
[rosmaster.master][INFO] 2019-12-31 09:26:10,986: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/
[rosmaster.master][INFO] 2019-12-31 09:26:10,990: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/
[rosmaster.master][INFO] 2019-12-31 09:26:11,007: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,008: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,009: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,022: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,022: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,023: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,030: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/
[rosmaster.master][INFO] 2019-12-31 09:26:11,031: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/
[rosmaster.master][INFO] 2019-12-31 09:26:11,031: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/
[rosmaster.master][INFO] 2019-12-31 09:26:11,043: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46173/
[rosmaster.master][INFO] 2019-12-31 09:26:11,044: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46173/
[rosmaster.master][INFO] 2019-12-31 09:26:11,045: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46173/
[rosmaster.master][INFO] 2019-12-31 09:26:11,050: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/']
[rosmaster.master][INFO] 2019-12-31 09:26:11,052: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:26:11,053: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/']
[rosmaster.master][INFO] 2019-12-31 09:26:11,053: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:26:11,054: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/']
[rosmaster.master][INFO] 2019-12-31 09:26:11,055: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:26:11,055: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46173/']
[rosmaster.master][INFO] 2019-12-31 09:26:11,056: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45877/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:26:11,069: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,072: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,073: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,075: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,076: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,077: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,078: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,079: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,081: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,082: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,084: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,086: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,088: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
[rosmaster.master][INFO] 2019-12-31 09:26:11,088: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,090: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,092: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,093: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37683/
[rosmaster.master][INFO] 2019-12-31 09:26:11,094: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,095: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,097: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,097: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,099: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,099: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:26:11,100: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,101: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,102: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,104: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,104: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:26:11,106: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43817/
[rosmaster.master][INFO] 2019-12-31 09:26:11,107: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40889/
