[rosmaster.main][INFO] 2020-02-26 20:00:09,205: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 20:00:09,205: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 20:00:09,206: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 20:00:09,206: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 20:00:09,206: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 20:00:09,206: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 20:00:09,255: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,257: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38793] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,353: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,353: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,353: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,353: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,354: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,355: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:00:09,356: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/
[rosmaster.master][INFO] 2020-02-26 20:00:09,356: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/
[rosmaster.master][INFO] 2020-02-26 20:00:09,358: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/
[rosmaster.master][INFO] 2020-02-26 20:00:09,362: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/
[rosmaster.master][INFO] 2020-02-26 20:00:09,388: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/
[rosmaster.master][INFO] 2020-02-26 20:00:09,389: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/
[rosmaster.master][INFO] 2020-02-26 20:00:09,391: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/
[rosmaster.master][INFO] 2020-02-26 20:00:09,397: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,398: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,399: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,405: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/']
[rosmaster.master][INFO] 2020-02-26 20:00:09,408: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 20:00:09,408: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/']
[rosmaster.master][INFO] 2020-02-26 20:00:09,410: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44801/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36405/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 20:00:09,414: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33953/
[rosmaster.master][INFO] 2020-02-26 20:00:09,415: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33953/
[rosmaster.master][INFO] 2020-02-26 20:00:09,416: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33953/
[rosmaster.master][INFO] 2020-02-26 20:00:09,427: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39877/
[rosmaster.master][INFO] 2020-02-26 20:00:09,428: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39877/
[rosmaster.master][INFO] 2020-02-26 20:00:09,429: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39877/
[rosmaster.master][INFO] 2020-02-26 20:00:09,438: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,438: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,439: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37757/
[rosmaster.master][INFO] 2020-02-26 20:00:09,441: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 20:00:09,442: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
