[rosmaster.main][INFO] 2019-12-25 21:14:52,666: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-25 21:14:52,667: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-25 21:14:52,667: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-25 21:14:52,668: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-25 21:14:52,668: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-25 21:14:52,668: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-25 21:14:52,731: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 21:14:52,733: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45049] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 21:14:52,838: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 21:14:52,838: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 21:14:52,842: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45543/
[rosmaster.master][INFO] 2019-12-25 21:14:52,843: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45543/
[rosmaster.master][INFO] 2019-12-25 21:14:52,844: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45543/
[rosmaster.master][INFO] 2019-12-25 21:14:52,847: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45543/
[rosmaster.master][INFO] 2019-12-25 21:15:09,466: +PUB [/rosout] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-25 21:15:09,466: +SERVICE [/DroneNode/get_loggers] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-25 21:15:09,467: +SERVICE [/DroneNode/set_logger_level] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-25 21:15:09,470: +SUB [/drone_command] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-25 21:15:09,471: -SERVICE [/DroneNode/get_loggers] /DroneNode rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:36061
